index,SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
85,2017/2017,8/6/2017,SEMEN PADANG,PSM MAKASSAR,2.0,1.0,1.0,1.0
86,2017/2017,9/6/2017,BALI UNITED,BHAYANGKARA FC,1.0,3.0,0.0,1.0
87,2017/2017,10/6/2017,AREMA FC,PERSERU SERUI,0.0,0.0,0.0,0.0
88,2017/2017,11/6/2017,PERSIB BANDUNG,PERSIBA BALIKPAPAN,1.0,0.0,0.0,0.0
89,2017/2017,12/6/2017,MADURA UNITED,SEMEN PADANG,6.0,0.0,3.0,0.0
90,2017/2017,13/6/2017,PERSERU SERUI,PERSIJA JAKARTA,0.0,3.0,0.0,1.0
91,2017/2017,14/6/2017,PERSELA LAMONGAN,PERSIPURA JAYAPURA,0.0,1.0,0.0,0.0
92,2017/2017,15/6/2017,MITRA KUKAR,GRESIK UNITED,3.0,1.0,2.0,0.0
93,2017/2017,16/6/2017,PERSIJA JAKARTA,SRIWIJAYA FC,1.0,0.0,1.0,0.0
94,2017/2017,17/6/2017,AREMA FC,BALI UNITED,2.0,0.0,1.0,0.0
95,2017/2017,18/6/2017,PS BARITO PUTERA,PERSIB BANDUNG,1.0,0.0,0.0,0.0
96,2017/2017,18/6/2017,PERSERU SERUI,PERSIKABO 1973,0.0,1.0,0.0,1.0
97,2017/2017,19/6/2017,PERSIBA BALIKPAPAN,BHAYANGKARA FC,1.0,2.0,0.0,1.0
98,2017/2017,19/6/2017,PSM MAKASSAR,BORNEO FC,1.0,0.0,0.0,0.0
99,2017/2017,3/7/2017,PERSIPURA JAYAPURA,MITRA KUKAR,6.0,0.0,3.0,0.0
100,2017/2017,3/7/2017,SEMEN PADANG,PERSELA LAMONGAN,1.0,0.0,0.0,0.0
101,2017/2017,3/7/2017,PERSIKABO 1973,AREMA FC,0.0,0.0,0.0,0.0
102,2017/2017,4/7/2017,GRESIK UNITED,PERSIJA JAKARTA,1.0,1.0,1.0,1.0
103,2017/2017,4/7/2017,BORNEO FC,MADURA UNITED,3.0,0.0,2.0,0.0
104,2017/2017,4/7/2017,BHAYANGKARA FC,PS BARITO PUTERA,0.0,1.0,0.0,1.0
105,2017/2017,5/7/2017,BALI UNITED,PERSIBA BALIKPAPAN,2.0,0.0,0.0,0.0
106,2017/2017,5/7/2017,PERSIB BANDUNG,PSM MAKASSAR,2.0,1.0,1.0,0.0
107,2017/2017,7/7/2017,MITRA KUKAR,SEMEN PADANG,1.0,0.0,1.0,0.0
108,2017/2017,7/7/2017,AREMA FC,SRIWIJAYA FC,3.0,2.0,1.0,1.0
109,2017/2017,8/7/2017,PERSERU SERUI,GRESIK UNITED,1.0,0.0,1.0,0.0
110,2017/2017,8/7/2017,PERSELA LAMONGAN,BORNEO FC,3.0,1.0,2.0,0.0
111,2017/2017,8/7/2017,PERSIJA JAKARTA,PERSIPURA JAYAPURA,1.0,1.0,0.0,0.0
112,2017/2017,9/7/2017,PS BARITO PUTERA,PERSIBA BALIKPAPAN,1.0,0.0,0.0,0.0
113,2017/2017,9/7/2017,PSM MAKASSAR,BHAYANGKARA FC,2.0,1.0,1.0,0.0
114,2017/2017,9/7/2017,MADURA UNITED,PERSIB BANDUNG,3.0,1.0,1.0,0.0
115,2017/2017,10/7/2017,PERSIKABO 1973,BALI UNITED,3.0,4.0,1.0,3.0
116,2017/2017,11/7/2017,BORNEO FC,MITRA KUKAR,1.0,0.0,0.0,0.0
117,2017/2017,12/7/2017,PERSIPURA JAYAPURA,PERSERU SERUI,2.0,2.0,0.0,1.0
118,2017/2017,12/7/2017,SEMEN PADANG,PERSIJA JAKARTA,1.0,1.0,0.0,0.0
119,2017/2017,12/7/2017,GRESIK UNITED,AREMA FC,2.0,3.0,2.0,1.0
120,2017/2017,12/7/2017,PERSIB BANDUNG,PERSELA LAMONGAN,1.0,1.0,1.0,0.0
121,2017/2017,13/7/2017,BHAYANGKARA FC,MADURA UNITED,2.0,1.0,0.0,1.0
122,2017/2017,13/7/2017,PERSIBA BALIKPAPAN,PSM MAKASSAR,2.0,2.0,1.0,1.0
123,2017/2017,14/7/2017,BALI UNITED,PS BARITO PUTERA,5.0,0.0,1.0,0.0
124,2017/2017,14/7/2017,SRIWIJAYA FC,PERSIKABO 1973,2.0,1.0,0.0,0.0
125,2017/2017,15/7/2017,MITRA KUKAR,PERSIB BANDUNG,2.0,1.0,1.0,1.0
126,2017/2017,16/7/2017,PERSIJA JAKARTA,BORNEO FC,1.0,0.0,1.0,0.0
127,2017/2017,16/7/2017,AREMA FC,PERSIPURA JAYAPURA,0.0,2.0,0.0,1.0
128,2017/2017,17/7/2017,PERSERU SERUI,SEMEN PADANG,0.0,0.0,0.0,0.0
129,2017/2017,17/7/2017,MADURA UNITED,PERSIBA BALIKPAPAN,1.0,0.0,1.0,0.0
130,2017/2017,17/7/2017,PERSELA LAMONGAN,BHAYANGKARA FC,1.0,3.0,0.0,1.0
131,2017/2017,18/7/2017,PSM MAKASSAR,PS BARITO PUTERA,1.0,1.0,1.0,0.0
132,2017/2017,18/7/2017,PERSIKABO 1973,GRESIK UNITED,2.0,1.0,0.0,1.0
133,2017/2017,19/7/2017,SRIWIJAYA FC,BALI UNITED,2.0,2.0,1.0,1.0
134,2017/2017,21/7/2017,BHAYANGKARA FC,MITRA KUKAR,4.0,1.0,1.0,1.0
135,2017/2017,21/7/2017,SEMEN PADANG,AREMA FC,2.0,0.0,1.0,0.0
136,2017/2017,22/7/2017,PS BARITO PUTERA,MADURA UNITED,2.0,2.0,1.0,2.0
137,2017/2017,22/7/2017,PERSIB BANDUNG,PERSIJA JAKARTA,1.0,1.0,1.0,1.0
138,2017/2017,22/7/2017,BORNEO FC,PERSERU SERUI,2.0,0.0,2.0,0.0
139,2017/2017,23/7/2017,PERSIPURA JAYAPURA,PERSIKABO 1973,2.0,1.0,1.0,0.0
